area,intensity_mean-C:0,intensity_mean-C:1,intensity_mean-C:2,intensity_mean-C:3,intensity_mean-C:4,name,image_name,scene
1549.0,348.140735958683,524.7204648160103,659.3918657198193,935.9212395093608,489.2362814719174,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2362.0,410.09060118543607,555.8103302286198,666.7734970364098,813.8657917019475,444.12489415749366,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2790.0,380.2964157706093,842.2007168458781,733.8272401433692,838.6874551971326,493.7881720430108,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2258.0,372.8436669619132,719.6908768821967,702.333923826395,811.2883082373783,465.40788308237376,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
1744.0,362.73451834862385,694.993119266055,725.8480504587156,926.724770642202,483.033256880734,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2302.0,439.7554300608167,823.1954821894005,862.9487402258906,974.0056472632492,530.4548218940052,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2838.0,410.3925299506695,811.2980972515857,887.6515151515151,998.6610288935872,529.3361522198732,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
1826.0,348.8959474260679,819.2792990142387,736.3324205914568,1069.3608981380066,525.4879518072289,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
1781.0,337.77596855699045,661.7091521617069,664.9197080291971,919.654688377316,488.0162829870859,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2752.0,348.9444040697674,731.7354651162791,705.0872093023256,864.7100290697674,479.0552325581395,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2016.0,385.1830357142857,826.7018849206349,889.5540674603175,1167.40376984127,547.7847222222222,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2101.0,321.8567348881485,652.2360780580676,657.0923369823894,880.2127558305568,471.57353641123274,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2530.0,435.56640316205534,823.1229249011858,900.8521739130434,1137.3494071146245,551.5446640316205,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2045.0,439.000488997555,866.0640586797066,982.7926650366747,1115.7501222493888,562.3711491442543,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
2070.0,347.96280193236714,948.9333333333332,985.2990338164252,1387.4367149758457,614.7019323671498,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
1733.0,378.1557991921523,850.2885170225044,894.9976918638199,1028.0253894979803,542.1234852856319,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
4520.0,370.84314159292035,1097.0730088495577,1001.9345132743364,1280.5440265486725,626.2329646017699,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
1903.0,329.988964792433,697.9280084077772,673.3899106673673,893.6915396741987,477.2900683131897,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
3686.0,369.7067281606077,1219.9400434074878,1024.22707542051,1296.982094411286,660.3838849701574,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
3079.0,408.8441052289704,1116.8525495290678,1131.5258200714518,1295.4368301396555,672.4157193894122,cdp2bioactives_h15.ome_scene1_props,cdp2bioactives_h15.ome,1
